Date,DRD,File,Status
2009_01,CBERS2B_CCD_20090101.135917,/Level-2/CBERS2B/2009_01/CBERS2B_CCD_20090101.135917/165_097_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20090101_165_097_L2_BAND2.tif.zip,`/tmp/CBERS_2B_CCD1XS_20090101_165_097_L2_BAND2.tif' not recognized as a supported file format.
2009_01,CBERS2B_CCD_20090101.154158,/Level-2/CBERS2B/2009_01/CBERS2B_CCD_20090101.154158/191_113_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20090101_191_113_L2_BAND3.tif.zip,`/tmp/CBERS_2B_CCD1XS_20090101_191_113_L2_BAND3.tif' not recognized as a supported file format.
2009_01,CBERS2B_CCD_20090101.154158,/Level-2/CBERS2B/2009_01/CBERS2B_CCD_20090101.154158/191_114_0/2_BC_UTM_WGS84/CBERS_2B_CCD2PAN_20090101_191_114_L2_BAND5.tif.zip,TIFFReadDirectory:Failed to read directory at offset 46002314
2009_01,CBERS2B_CCD_20090101.154158,/Level-2/CBERS2B/2009_01/CBERS2B_CCD_20090101.154158/191_114_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20090101_191_114_L2_BAND1.tif.zip,`/tmp/CBERS_2B_CCD2XS_20090101_191_114_L2_BAND1.tif' not recognized as a supported file format.
2009_01,CBERS2B_CCD_20090101.154158,/Level-2/CBERS2B/2009_01/CBERS2B_CCD_20090101.154158/191_116_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20090101_191_116_L2_BAND4.tif.zip,`/tmp/CBERS_2B_CCD1XS_20090101_191_116_L2_BAND4.tif' not recognized as a supported file format.
2009_01,CBERS2B_CCD_20090101.154158,/Level-2/CBERS2B/2009_01/CBERS2B_CCD_20090101.154158/191_116_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20090101_191_116_L2_BAND3.tif.zip,too small
2009_01,CBERS2B_CCD_20090102.132525,/Level-2/CBERS2B/2009_01/CBERS2B_CCD_20090102.132525/156_100_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20090102_156_100_L2_BAND3.tif.zip,`/tmp/CBERS_2B_CCD1XS_20090102_156_100_L2_BAND3.tif' not recognized as a supported file format.
2009_01,CBERS2B_CCD_20090102.132525,/Level-2/CBERS2B/2009_01/CBERS2B_CCD_20090102.132525/156_101_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20090102_156_101_L2_BAND3.tif.zip,`/tmp/CBERS_2B_CCD1XS_20090102_156_101_L2_BAND3.tif' not recognized as a supported file format.
2009_01,CBERS2B_CCD_20090102.132525,/Level-2/CBERS2B/2009_01/CBERS2B_CCD_20090102.132525/156_121_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20090102_156_121_L2_BAND3.tif.zip,`/tmp/CBERS_2B_CCD1XS_20090102_156_121_L2_BAND3.tif' not recognized as a supported file format.
2009_01,CBERS2B_CCD_20090102.132525,/Level-2/CBERS2B/2009_01/CBERS2B_CCD_20090102.132525/156_121_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20090102_156_121_L2_BAND4.tif.zip,`/tmp/CBERS_2B_CCD1XS_20090102_156_121_L2_BAND4.tif' not recognized as a supported file format.
2009_01,CBERS2B_CCD_20090102.132525,/Level-2/CBERS2B/2009_01/CBERS2B_CCD_20090102.132525/156_120_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20090102_156_120_L2_BAND1.tif.zip,`/tmp/CBERS_2B_CCD2XS_20090102_156_120_L2_BAND1.tif' not recognized as a supported file format.
2009_01,CBERS2B_CCD_20090103.015400,/Level-2/CBERS2B/2009_01/CBERS2B_CCD_20090103.015400/078_086_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20090102_078_086_L2_BAND3.tif.zip,too small
2009_01,CBERS2B_CCD_20090103.015400,/Level-2/CBERS2B/2009_01/CBERS2B_CCD_20090103.015400/078_087_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20090102_078_087_L2_BAND3.tif.zip,TIFFReadDirectory:Failed to read directory at offset 45212016
