Date,DRD,File,Status
2009_08,CBERS2B_CCD_20090813.133131,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090813.133131/158_126_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20090813_158_126_L2_BAND3.tif.zip,TIFFReadDirectory:Failed to read directory at offset 41722728
2009_08,CBERS2B_CCD_20090813.133131,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090813.133131/158_122_0/2_BC_UTM_WGS84/CBERS_2B_CCD2PAN_20090813_158_122_L2_BAND5.tif.zip,TIFFReadDirectory:Failed to read directory at offset 41729488
2009_08,CBERS2B_CCD_20090813.133131,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090813.133131/158_118_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20090813_158_118_L2_BAND1.tif.zip,`/tmp/CBERS_2B_CCD2XS_20090813_158_118_L2_BAND1.tif' not recognized as a supported file format.
2009_08,CBERS2B_CCD_20090813.133131,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090813.133131/158_113_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20090813_158_113_L2_BAND1.tif.zip,too small
2009_08,CBERS2B_CCD_20090813.133131,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090813.133131/158_111_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20090813_158_111_L2_BAND1.tif.zip,`/tmp/CBERS_2B_CCD2XS_20090813_158_111_L2_BAND1.tif' not recognized as a supported file format.
2009_08,CBERS2B_CCD_20090813.133131,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090813.133131/158_119_0/2_BC_UTM_WGS84/CBERS_2B_CCD2PAN_20090813_158_119_L2_BAND5.tif.zip,TIFFReadDirectory:Failed to read directory at offset 41698040
2009_08,CBERS2B_CCD_20090813.133131,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090813.133131/158_131_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20090813_158_131_L2_BAND1.tif.zip,`/tmp/CBERS_2B_CCD2XS_20090813_158_131_L2_BAND1.tif' not recognized as a supported file format.
2009_08,CBERS2B_CCD_20090813.151127,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090813.151127/183_093_0/2_BC_UTM_WGS84/CBERS_2B_CCD2PAN_20090813_183_093_L2_BAND5.tif.zip,TIFFReadDirectory:Failed to read directory at offset 40281634
2009_08,CBERS2B_CCD_20090813.151127,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090813.151127/183_093_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20090813_183_093_L2_BAND4.tif.zip,`/tmp/CBERS_2B_CCD1XS_20090813_183_093_L2_BAND4.tif' not recognized as a supported file format.
2009_08,CBERS2B_CCD_20090813.151127,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090813.151127/183_094_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20090813_183_094_L2_BAND4.tif.zip,TIFFReadDirectory:Failed to read directory at offset 40319758
2009_08,CBERS2B_CCD_20090813.151127,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090813.151127/183_094_0/2_BC_UTM_WGS84/CBERS_2B_CCD2PAN_20090813_183_094_L2_BAND5.tif.zip,TIFFReadDirectory:Failed to read directory at offset 40307048
2009_08,CBERS2B_CCD_20090813.151127,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090813.151127/183_103_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20090813_183_103_L2_BAND4.tif.zip,too small
2009_08,CBERS2B_CCD_20090813.151127,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090813.151127/183_103_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20090813_183_103_L2_BAND1.tif.zip,`/tmp/CBERS_2B_CCD2XS_20090813_183_103_L2_BAND1.tif' not recognized as a supported file format.
2009_08,CBERS2B_CCD_20090813.151127,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090813.151127/183_105_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20090813_183_105_L2_BAND3.tif.zip,`/tmp/CBERS_2B_CCD1XS_20090813_183_105_L2_BAND3.tif' not recognized as a supported file format.
2009_08,CBERS2B_CCD_20090813.151127,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090813.151127/183_106_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20090813_183_106_L2_BAND3.tif.zip,`/tmp/CBERS_2B_CCD1XS_20090813_183_106_L2_BAND3.tif' not recognized as a supported file format.
2009_08,CBERS2B_CCD_20090814.125540,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090814.125540/148_100_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20090814_148_100_L2_BAND1.tif.zip,TIFFReadDirectory:Failed to read directory at offset 40413248
2009_08,CBERS2B_CCD_20090814.125540,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090814.125540/148_100_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20090814_148_100_L2_BAND3.tif.zip,TIFFReadDirectory:Failed to read directory at offset 40413248
2009_08,CBERS2B_CCD_20090814.125540,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090814.125540/148_103_0/2_BC_UTM_WGS84/CBERS_2B_CCD2PAN_20090814_148_103_L2_BAND5.tif.zip,`/tmp/CBERS_2B_CCD2PAN_20090814_148_103_L2_BAND5.tif' not recognized as a supported file format.
2009_08,CBERS2B_CCD_20090814.125540,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090814.125540/148_105_0/2_BC_UTM_WGS84/CBERS_2B_CCD2PAN_20090814_148_105_L2_BAND5.tif.zip,TIFFReadDirectory:Failed to read directory at offset 40728712
2009_08,CBERS2B_CCD_20090814.125540,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090814.125540/148_115_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20090814_148_115_L2_BAND3.tif.zip,`/tmp/CBERS_2B_CCD2XS_20090814_148_115_L2_BAND3.tif' not recognized as a supported file format.
2009_08,CBERS2B_CCD_20090814.125540,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090814.125540/148_121_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20090814_148_121_L2_BAND4.tif.zip,too small
2009_08,CBERS2B_CCD_20090814.125540,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090814.125540/148_122_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20090814_148_122_L2_BAND3.tif.zip,`/tmp/CBERS_2B_CCD1XS_20090814_148_122_L2_BAND3.tif' not recognized as a supported file format.
2009_08,CBERS2B_CCD_20090814.125540,/Level-2/CBERS2B/2009_08/CBERS2B_CCD_20090814.125540/148_124_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20090814_148_124_L2_BAND3.tif.zip,`/tmp/CBERS_2B_CCD1XS_20090814_148_124_L2_BAND3.tif' not recognized as a supported file format.
