Date,DRD,File,Status
2001_10,LANDSAT7_ETM_20011021.141533,/Level-2/LANDSAT7/2001_10/LANDSAT7_ETM_20011021.141533/232_082_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20011021_232_082_L2_BAND7.tif.zip,`/tmp/LANDSAT_7_ETMXS_20011021_232_082_L2_BAND7.tif' not recognized as a supported file format.
2001_10,LANDSAT7_ETM_20011022.145401,/Level-2/LANDSAT7/2001_10/LANDSAT7_ETM_20011022.145401/006_070_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20011022_006_070_L2_BAND4.tif.zip,`/tmp/LANDSAT_7_ETMXS_20011022_006_070_L2_BAND4.tif' not recognized as a supported file format.
2001_10,LANDSAT7_ETM_20011025.134001,/Level-2/LANDSAT7/2001_10/LANDSAT7_ETM_20011025.134001/228_061_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20011025_228_061_L2_BAND1.tif.zip,TIFFReadDirectory:Failed to read directory at offset 54785560
2001_10,LANDSAT7_ETM_20011025.134001,/Level-2/LANDSAT7/2001_10/LANDSAT7_ETM_20011025.134001/228_061_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20011025_228_061_L2_BAND5.tif.zip,TIFFReadDirectory:Failed to read directory at offset 54785560
2001_10,LANDSAT7_ETM_20011025.134001,/Level-2/LANDSAT7/2001_10/LANDSAT7_ETM_20011025.134001/228_061_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20011025_228_061_L2_BAND7.tif.zip,TIFFReadDirectory:Failed to read directory at offset 54785560
2001_10,LANDSAT7_ETM_20011030.122226,/Level-2/LANDSAT7/2001_10/LANDSAT7_ETM_20011030.122226/215_072_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20011030_215_072_L2_BAND4.tif.zip,`/tmp/LANDSAT_7_ETMXS_20011030_215_072_L2_BAND4.tif' not recognized as a supported file format.
2001_11,LANDSAT7_ETM_20011114.145524,/Level-2/LANDSAT7/2001_11/LANDSAT7_ETM_20011114.145524/007_066_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20011114_007_066_L2_BAND4.tif.zip,`/tmp/LANDSAT_7_ETMXS_20011114_007_066_L2_BAND4.tif' not recognized as a supported file format.
2001_12,LANDSAT7_ETM_20011216.131711,/Level-2/LANDSAT7/2001_12/LANDSAT7_ETM_20011216.131711/224_085_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20011216_224_085_L2_BAND4.tif.zip,`/tmp/LANDSAT_7_ETMXS_20011216_224_085_L2_BAND4.tif' not recognized as a supported file format.
2001_12,LANDSAT7_ETM_20011218.131454,/Level-2/LANDSAT7/2001_12/LANDSAT7_ETM_20011218.131454/222_084_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20011218_222_084_L2_BAND7.tif.zip,TIFFReadDirectory:Failed to read directory at offset 54965098
2001_12,LANDSAT7_ETM_20011218.144747,/Level-2/LANDSAT7/2001_12/LANDSAT7_ETM_20011218.144747/005_069_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20011218_005_069_L2_BAND4.tif.zip,`/tmp/LANDSAT_7_ETMXS_20011218_005_069_L2_BAND4.tif' not recognized as a supported file format.
2001_12,LANDSAT7_ETM_20011221.133414,/Level-2/LANDSAT7/2001_12/LANDSAT7_ETM_20011221.133414/227_068_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20011221_227_068_L2_BAND4.tif.zip,`/tmp/LANDSAT_7_ETMXS_20011221_227_068_L2_BAND4.tif' not recognized as a supported file format.
2001_12,LANDSAT7_ETM_20011223.150510,/Level-2/LANDSAT7/2001_12/LANDSAT7_ETM_20011223.150510/008_066_0/2_BC_UTM_WGS84/LANDSAT_7_ETMXS_20011223_008_066_L2_BAND7.tif.zip,`/tmp/LANDSAT_7_ETMXS_20011223_008_066_L2_BAND7.tif' not recognized as a supported file format.
