Date,DRD,File,Status
1978_08,LANDSAT3_MSS_19780817.123000,/Level-2/LANDSAT3/1978_08/LANDSAT3_MSS_19780817.123000/243_069_0/2_BC_UTM_WGS84/LANDSAT_3_MSS_19780817_243_069_L2_BAND7.tif.zip,TIFFReadDirectory:Failed to read directory at offset 6944660
1979_11,LANDSAT3_MSS_19791124.120000,/Level-2/LANDSAT3/1979_11/LANDSAT3_MSS_19791124.120000/239_061_0/2_BC_UTM_WGS84/LANDSAT_3_MSS_19791124_239_061_L2_BAND4.tif.zip,`/tmp/LANDSAT_3_MSS_19791124_239_061_L2_BAND4.tif' not recognized as a supported file format.
1979_11,LANDSAT3_MSS_19791126.120000,/Level-2/LANDSAT3/1979_11/LANDSAT3_MSS_19791126.120000/241_074_0/2_BC_UTM_WGS84/LANDSAT_3_MSS_19791126_241_074_L2_BAND6.tif.zip,`/tmp/LANDSAT_3_MSS_19791126_241_074_L2_BAND6.tif' not recognized as a supported file format.
1979_12,LANDSAT3_MSS_19791216.123000,/Level-2/LANDSAT3/1979_12/LANDSAT3_MSS_19791216.123000/243_082_0/2_BC_UTM_WGS84/LANDSAT_3_MSS_19791216_243_082_L2_BAND7.tif.zip,too small
1982_05,LANDSAT3_MSS_19820509.120000,/Level-2/LANDSAT3/1982_05/LANDSAT3_MSS_19820509.120000/236_076_0/2_BC_UTM_WGS84/LANDSAT_3_MSS_19820509_236_076_L2_BAND5.tif.zip,`/tmp/LANDSAT_3_MSS_19820509_236_076_L2_BAND5.tif' not recognized as a supported file format.
1982_05,LANDSAT3_MSS_19820521.133000,/Level-2/LANDSAT3/1982_05/LANDSAT3_MSS_19820521.133000/248_070_0/2_BC_UTM_WGS84/LANDSAT_3_MSS_19820521_248_070_L2_BAND4.tif.zip,`/tmp/LANDSAT_3_MSS_19820521_248_070_L2_BAND4.tif' not recognized as a supported file format.
