Date,DRD,File,Status
2008_06,CBERS2B_HRC_20080607.140140,/Level-2/CBERS2B/2008_06/CBERS2B_HRC_20080607.140140/165_B_127_1_0/2_BC_UTM_WGS84/CBERS_2B_HRC_20080607_165_B_127_1_L2_BAND1.tif.zip,TIFFReadDirectory:Failed to read directory at offset 183074256
2008_06,CBERS2B_HRC_20080607.140140,/Level-2/CBERS2B/2008_06/CBERS2B_HRC_20080607.140140/165_B_129_1_0/2_BC_UTM_WGS84/CBERS_2B_HRC_20080607_165_B_129_1_L2_BAND1.tif.zip,`/tmp/CBERS_2B_HRC_20080607_165_B_129_1_L2_BAND1.tif' not recognized as a supported file format.
2008_06,CBERS2B_HRC_20080607.140140,/Level-2/CBERS2B/2008_06/CBERS2B_HRC_20080607.140140/165_B_129_2_0/2_BC_UTM_WGS84/CBERS_2B_HRC_20080607_165_B_129_2_L2_BAND1.tif.zip,TIFFReadDirectory:Failed to read directory at offset 189157322
