Date,DRD,File,Status
2008_02,CBERS2B_CCD_20080205.131557,/Level-2/CBERS2B/2008_02/CBERS2B_CCD_20080205.131557/154_124_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20080205_154_124_L2_BAND3.tif.zip,`/tmp/CBERS_2B_CCD2XS_20080205_154_124_L2_BAND3.tif' not recognized as a supported file format.
2008_02,CBERS2B_HRC_20080209.141554,/Level-2/CBERS2B/2008_02/CBERS2B_HRC_20080209.141554/170_C_092_5_0/2_BC_UTM_WGS84/CBERS_2B_HRC_20080209_170_C_092_5_L2_BAND1.tif.zip,too small
2008_02,CBERS2B_HRC_20080209.141554,/Level-2/CBERS2B/2008_02/CBERS2B_HRC_20080209.141554/170_C_102_1_0/2_BC_UTM_WGS84/CBERS_2B_HRC_20080209_170_C_102_1_L2_BAND1.tif.zip,`/tmp/CBERS_2B_HRC_20080209_170_C_102_1_L2_BAND1.tif' not recognized as a supported file format.
2008_02,CBERS2B_HRC_20080209.141554,/Level-2/CBERS2B/2008_02/CBERS2B_HRC_20080209.141554/170_C_103_3_0/2_BC_UTM_WGS84/CBERS_2B_HRC_20080209_170_C_103_3_L2_BAND1.tif.zip,TIFFReadDirectory:Failed to read directory at offset 178409134
2008_02,CBERS2B_HRC_20080209.141554,/Level-2/CBERS2B/2008_02/CBERS2B_HRC_20080209.141554/170_C_103_5_0/2_BC_UTM_WGS84/CBERS_2B_HRC_20080209_170_C_103_5_L2_BAND1.tif.zip,`/tmp/CBERS_2B_HRC_20080209_170_C_103_5_L2_BAND1.tif' not recognized as a supported file format.
2008_02,CBERS2B_HRC_20080222.150714,/Level-2/CBERS2B/2008_02/CBERS2B_HRC_20080222.150714/183_C_101_2_0/2_BC_UTM_WGS84/CBERS_2B_HRC_20080222_183_C_101_2_L2_BAND1.tif.zip,`/tmp/CBERS_2B_HRC_20080222_183_C_101_2_L2_BAND1.tif' not recognized as a supported file format.
