Date,DRD,File,Status
2008_07,CBERS2B_CCD_20080705.015300,/Level-2/CBERS2B/2008_07/CBERS2B_CCD_20080705.015300/104_088_0/2_BC_UTM_WGS84/CBERS_2B_CCD1XS_20080704_104_088_L2_BAND2.tif.zip,`/tmp/CBERS_2B_CCD1XS_20080704_104_088_L2_BAND2.tif' not recognized as a supported file format.
2008_07,CBERS2B_CCD_20080719.130559,/Level-2/CBERS2B/2008_07/CBERS2B_CCD_20080719.130559/151_127_0/2_BC_UTM_WGS84/CBERS_2B_CCD2XS_20080719_151_127_L2_BAND1.tif.zip,`/tmp/CBERS_2B_CCD2XS_20080719_151_127_L2_BAND1.tif' not recognized as a supported file format.
2008_07,CBERS2B_HRC_20080707.132052,/Level-2/CBERS2B/2008_07/CBERS2B_HRC_20080707.132052/155_C_128_5_0/2_BC_UTM_WGS84/CBERS_2B_HRC_20080707_155_C_128_5_L2_BAND1.tif.zip,TIFFReadDirectory:Failed to read directory at offset 185809580
2008_07,CBERS2B_HRC_20080724.133202,/Level-2/CBERS2B/2008_07/CBERS2B_HRC_20080724.133202/158_C_131_5_0/2_BC_UTM_WGS84/CBERS_2B_HRC_20080724_158_C_131_5_L2_BAND1.tif.zip,`/tmp/CBERS_2B_HRC_20080724_158_C_131_5_L2_BAND1.tif' not recognized as a supported file format.
